Key,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl],
JOTL_084_B,"Destroy one adjacent obstacle. If you do, gain <sprite name=XP1> and perform",Détruit un obstacle adjacent. Cela vous fait gagner <sprite name=XP1> et vous permet d'effectuer,Zerstöre ein angrenzendes Hindernis. Erhalte dafür <sprite name=XP1> und führe aus:,"Destruye 1 obstáculo adyacente. Si lo haces, obtén <sprite name=XP1> y realiza","Znisz jedną sąsiadującą przeszkodę. Jeśli to zrobisz, zyskaj <sprite name=XP1> i wykonaj akcję ",
JOTL_085_T_1,"Destroy one adjacent obstacle. If you do, gain <sprite name=XP2> and perform",Détruit un obstacle adjacent. Cela vous fait gagner <sprite name=XP2> et vous permet d'effectuer,Zerstöre ein angrenzendes Hindernis. Erhalte dafür <sprite name=XP2> und führe aus:,"Destruye 1 obstáculo adyacente. Si lo haces, obtén <sprite name=XP2> y realiza","Zniszcz jedną sąsiadującą przeszkodę. Jeśli to robisz, zyskaj <sprite name=XP2> i wokonaj akcję ",
JOTL_085_T_2,Target all enemies adjacent to the destroyed obstacle,Cible tous les adversaires adjacents à l'obstacle détruit.,"Visiere alle Gegner an, die an das Hindernis angrenzen",Toma como objetivo a todos los enemigos adyacentes al obstáculo destruido.,Cel: wszyscy przeciwnicy sąsiadujący z przeszkodą.,
JOTL_085_T_3,Each target suffers 2 damage.,Chaque cible subit 2 dégâts.,Jedes Ziel erleidet 2 Schaden.,Cada objetivo sufre 2 de daño.,Każdy cel otrzymuje 2 obrażenia.,
JOTL_086_B,Destroy one adjacent obstacle to create two single-hex obstacles in empty hexes adjacent to the original obstacle.,Détruit un obstacle adjacent pour créer deux obstacles faisant un hexagone chacun sur des hexagones vides adjacents à l'obstacle d'origine.,"Zerstöre ein angrenzendes Hindernis, um zwei Einzelfeld-Hindernisse auf leeren Feldern zu erstellen, welche an das ursprüngliche Hindernis angrenzen.",Destruye 1 obstáculo adyacente para crear 2 obstáculos de un solo hexágono en hexágonos vacíos adyacentes al obstáculo original.,"Zniszcz jedną sąsiadującą przeszkodę, aby stworzyć dwie przeszkody o wielkości jednego pola na pustych polach sąsiadujących z pierwotną przeszkodą.",
JOTL_088_B,"If you opened a door during the movement, perform","Si vous avez ouvert une porte durant ce déplacement, effectuez","Wenn du in der Bewegung eine Tür geöffnet hast, führe aus:","Si has abierto una puerta durante el movimiento, realiza","Jeśli otworzyłeś drzwi podczas ruchu, wykonaj akcję ",
JOTL_089_B,"Destroy one adjacent obstacle. If you do, gain <sprite name=XP1> and perform",Détruit un obstacle adjacent. Cela vous fait gagner <sprite name=XP1> et vous permet d'effectuer,Zerstöre ein angrenzendes Hindernis. Erhalte dafür <sprite name=XP1> und führe aus:,"Destruye 1 obstáculo adyacente. Si lo haces, obtén <sprite name=XP1> y realiza","Zniszcz jedną sąsiadującą przeszkodę. Jeśli to zrobisz, zyskaj <sprite name=XP1> i wykonaj akcję ",
JOTL_090_T,"Add <nobr>PUSH <sprite name=Push> 2</nobr>, <nobr>MUDDLE <sprite name=Muddle></nobr> and gain <sprite name=XP1> if this attack targets the same enemy as the previous Attack ability.","Ajoute <nobr>POUSSÉE <sprite name=Push> 2</nobr> et <nobr>CONFUSION <sprite name=Muddle></nobr>. De plus, vous gagnez <sprite name=XP1> si cette attaque cible le même adversaire que la précédente capacité d'Attaque.","Füge <nobr>SCHIEBEN <sprite name=Push> 2</nobr>, <nobr>VERWIRRUNG <sprite name=Muddle></nobr> hinzu und erhalte <sprite name=XP1>, wenn der Gegner das Ziel der vorherigen Angriffsfertigkeit war.","Añade <nobr>EMPUJÓN <sprite name=Push> 2</nobr>, <nobr>CONFUSIÓN <sprite name=Muddle></nobr> y obtén <sprite name=XP1> si este ataque toma como objetivo al mismo enemigo que la capacidad de Ataque anterior.","Dodaj <nobr>ODEPCHNIĘCIE <sprite name=Push> 2</nobr>, <nobr>ZAMROCZENIE <sprite name=Muddle></nobr> oraz zyskaj <sprite name=XP1> , jeśli celem tego ataku jest ten sam przeciwnik, co w poprzedniej zdolności Ataku.",
JOTL_091_T,"This movement may end in a hex containing an obstacle. If it does, gain <sprite name=XP1>, destroy the obstacle, and perform","Ce déplacement peut s'achever sur un hexagone contenant un obstacle. Le cas échéant, vous gagnez <sprite name=XP1>, tout en détruisant l'obstacle et en pouvant effectuer","Diese Bewegung darf auf einem Feld mit Hindernis enden. Erhalte in diesem Fall <sprite name=XP1>, zerstöre das Hindernis und führe aus:","Esta capacidad de movimiento puede terminar en un hexágono con un obstáculo. Si lo hace, obtén <sprite name=XP1>, destruye el obstáculo y realiza","Ten ruch może zakończyć się na polu zawierającym przeszkodę. Jeśli to zrobisz, zyskaj <sprite name=XP1>, zniszcz tę przeszkodę i wykonaj akcję",
JOTL_091_B,"If you are adjacent to a wall, create one single-hex obstacle in an empty hex that is adjacent you.","Si vous vous trouvez en position adjacente à un mur, crée un obstacle d'un hexagone sur un hexagone vide adjacent à vous.","Wenn du dich neben einer Mauer befindest, erstelle auf einem angrenzenden Feld ein Einzelfeld-Hindernis.","Si estás adyacente a una pared, crea 1 obstáculo de un solo hexágono en un hexágono vacío adyacente a ti.","Jeśli sąsiadujesz ze ścianą, stwórz przeszkodę wielkości jednego pola na pustym, sąsiadującym z tobą polu.",
JOTL_092_T,Add <nobr>+3 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if the target is an object with health.,"Ajoute <nobr>+3 en Attaque <sprite name=Attack></nobr>. De plus, vous gagnez <sprite name=XP1> si la cible est un objet ayant de la santé.","Füge <nobr>+3 Angriff <sprite name=Attack></nobr> hinzu und erhalte <sprite name=XP1>, wenn das Ziel ein Objekt mit Gesundheit ist.",Añade <nobr>Ataque <sprite name=Attack> +3</nobr> y obtén <sprite name=XP1> si el objetivo es un obstáculo con salud.,"Dodaj <nobr>+3 do Ataku <sprite name=Attack></nobr> i zyskaj <sprite name=XP1>, jeśli cel jest obiektem posiadającym punkty zdrowia.",
JOTL_092_B,Add <nobr>+1 Attack <sprite name=Attack></nobr> to all your melee attacks this round.,Ajoute <nobr>+1 en Attaque <sprite name=Attack></nobr> à toutes vos attaques au corps à corps au cours de ce round.,Füge all deinen Nahkampfangriffen in dieser Runde <nobr>+1 Angriff <sprite name=Attack></nobr> hinzu.,Añade <nobr>Ataque <sprite name=Attack> +1</nobr> a todos tus ataques cuerpo a cuerpo durante esta ronda.,Dodaj <nobr>+1 do Ataku <sprite name=Attack></nobr> dla wszystkich twoich ataków wręcz w tej rundzie.,
JOTL_093_T,Create one 3-damage <nobr>MUDDLE <sprite name=Muddle></nobr> trap in an empty hex within <nobr>Range <sprite name=Range> 3</nobr>.,Crée un piège à 3 dégâts et <nobr>CONFUSION <sprite name=Muddle></nobr> sur un hexagone vide à <nobr>Portée <sprite name=Range> 3.</nobr>,"Erstelle eine Falle (3 Schaden, <nobr>VERWIRRUNG <sprite name=Muddle></nobr>) auf einem leeren Feld in <nobr>Reichweite <sprite name=Range> 3</nobr>.",Crea 1 trampa de <nobr>CONFUSIÓN <sprite name=Muddle></nobr> y 3 de daño en un hexágono vacío a <nobr>Alcance <sprite name=Range> 3</nobr>.,Stwórz jedną pułapkę zadającą 3 obrażenia <nobr>ZAMROCZENIE <sprite name=Muddle></nobr> na pustym polu w <nobr>Zasięgu <sprite name=Range> 3</nobr>.,
JOTL_093_B_1,"Choose one adjacent enemy. If each hex of the movement brought you closer to that enemy, perform","Désignez un adversaire adjacent. Si chaque hexagone de votre déplacement vous rapproche de cet adversaire, effectuez","Wähle einen angrenzenden Gegner aus. Wenn du dich diesem Gegner mit jedem Schritt der Bewegung näherst, führe","Selecciona a 1 enemigo adyacente. Si todos los hexágonos que has movido te han acercado a ese enemigo, realiza","Wskaż jednego sąsiadującego przeciwnika. Jeśli każde pole w wykonanym ruchu zbliżyło cię do niego, wykonaj akcję ",
JOTL_093_B_2,"targeting that enemy, where X is the number of hexes you moved.","ciblant cet adversaire, où X est le nombre d'hexagones parcourus.",gegen diesen Gegner aus. X ist die Anzahl der betretenen Felder.,"tomando como objetivo a ese enemigo, donde X es el número de hexágonos que has movido.","gdzie celem jest ten przeciwnik, zaś X to liczba pól twojego ruchu.",
JOTL_094_B,This movement is unaffected by difficult terrain.,Ce déplacement n'est pas affecté par un terrain difficile.,Diese Bewegung wird nicht durch schwieriges Gelände beeinflusst.,Este movimiento no se ve afectado por el terreno impracticable.,Na ten ruch nie wpływa trudny teren.,
JOTL_095_T,"On your next four attacks targeting enemies adjacent to a wall, add <nobr>+2 Attack <sprite name=Attack></nobr>.",Ajoute <nobr>+2 en Attaque <sprite name=Attack></nobr> à vos quatre prochaines attaques ciblant des adversaires adjacents à un mur.,"Füge deinen nächsten vier Angriffen, die Gegner anvisieren, welche an eine Mauer angrenzen, <nobr>+2 Angriff <sprite name=Attack></nobr> hinzu.","Para tus próximos 4 ataques que tomen como objetivo a enemigos adyacentes a una pared, añade <nobr>Ataque <sprite name=Attack> +2</nobr>.",Dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr> dla twoich następnych czterech ataków skierowanych w przeciwników sąsiadujących ze ścianą.,
JOTL_095_B_1,"Each time you enter a hex containing an obstacle with this movement, destroy that obstacle and add <nobr>+1 Move <sprite name=Move></nobr>.","Chaque fois que vous entrez sur un hexagone contenant un obstacle durant ce déplacement, détruisez cet obstacle et ajoutez <nobr>+1 en Déplacement <sprite name=Move>.</nobr>","Wann immer du mit dieser Bewegung ein Feld mit einem Hindernis betrittst, zerstöre das Hindernis und füge <nobr>+1 Bewegung <sprite name=Move></nobr> hinzu.","Cada vez que, con este movimiento, entres en un hexágono que contenga un obstáculo, destrúyelo y añade <nobr>Movimiento <sprite name=Move> +1</nobr>.","Za każdym razem gdy podczas tego ruchu wchodzisz na pole z przeszkoda, zniszcz tę przeszkodę i zyskaj <nobr>+1 do Ruchu <sprite name=Move></nobr>.",
JOTL_095_B_2,"All enemies moved through suffer 1 damage, <sprite name=XP1>.","Tous les adversaires franchis subissent 1 dégât, <sprite name=XP1>.","Alle durchquerten Gegner erleiden 1 Schaden, <sprite name=XP1>.","Todos los enemigos por cuyo hexágono hayas pasado sufren 1 de daño, <sprite name=XP1>.","Wszyscy przeciwnicy na trasie twojego ruchu otrzymują 1 obrażenie, <sprite name=XP1>.",
JOTL_096_B,"Destroy one adjacent obstacle. If you do, gain <sprite name=XP1> and all enemies adjacent to the destroyed obstacle suffer 2 damage.","Détruit un obstacle adjacent. Cela vous fait gagner <sprite name=XP1>, et tous les adversaires adjacents à l'obstacle détruit subissent 2 dégâts.",Zerstöre ein angrenzendes Hindernis. Erhalte dafür <sprite name=XP1> und alle an die an das zerstörte Hindernis angrenzenden Gegner erleiden 2 Schaden.,"Destruye 1 obstáculo adyacente. Si lo haces, obtén <sprite name=XP1> y todos los enemigos adyacentes al obstáculo destruido sufren 2 de daño.","Zniszcz jedną sąsiadującą przeszkodę. Jeśli to zrobisz, zyskujesz <sprite name=XP1> , zaś wszyscy przeciwnicy sąsiadujący ze zniszczoną przeszkodą otrzymują 2 obrażenia.",
JOTL_097_T,"Add +1 Attack for each wall hex, obstacle, object with health, character, or trap adjacent to the target.","Ajoute <nobr>+1 en Attaque <sprite name=Attack></nobr> pour chaque hexagone adjacent à la cible sur lequel se trouve un mur, obstacle, objet ayant de la santé, personnage ou piège.","Füge für jedes an das Ziel angrenzende Mauerfeld, Hindernis, Objekt mit Gesundheit sowie jeden Charakter und jede Falle +1 Angriff hinzu.","Añade Ataque +1 por cada hexágono de pared, hexágono de obstáculo, figura o trampa adyacente al objetivo.","Dodaj +1 do Ataku za każde pole ze ścianą, przeszkodą, obiektem docelowym, postacią albo pułapką, które sąsiaduje z celem.",
JOTL_097_B,Move a single-hex obstacle adjacent to your starting hex to an empty hex adjacent to you.,Déplace un obstacle d'un hexagone adjacent à votre hexagone de départ jusqu'à un hexagone vide qui vous est adjacent.,"Bewege ein Einzelfeld-Hindernis, das an dein Startfeld angrenzt, auf ein leeres an dich angrenzendes Feld.",Mueve un obstáculo de un solo hexágono adyacente a tu hexágono inicial hasta un hexágono vacío adyacente a ti.,Przesuń przeszkodę wielkości jednego pola sąsiadującą z twoim polem startowym na puste pole sąsiadujące z tobą.,
JOTL_098_T_1,"Destroy one obstacle within <nobr>Range <sprite name=Range> 4</nobr>. If you do, perform",Détruit un obstacle à <nobr>Portée <sprite name=Range> 4.</nobr> Cela vous permet d'effectuer,"Zerstöre ein Hindernis in <nobr>Reichweite <sprite name=Range> 4</nobr>. Wenn du es zerstört hast, führe aus:","Destruye 1 obstáculo a <nobr>Alcance <sprite name=Range> 4</nobr>. Si lo haces, realiza","Zniszcz jedną przeszkodę w <nobr>Zasięgu <sprite name=Range> 4</nobr>. Jeśli to zrobisz, wykonaj akcję ",
JOTL_098_T_2,Target all enemies adjacent to the destroyed obstacle,Cible tous les adversaires adjacents à l'obstacle détruit.,"Visiere alle Gegner an, die an das Hindernis angrenzen",Toma como objetivo a todos los enemigos adyacentes al obstáculo destruido.,Cel: wszyscy przeciwnicy sąsiadujący ze zniszczoną przeszkodą.,
JOTL_098_B,Create three 3-damage traps in empty hexes within <nobr>Range <sprite name=Range> 4</nobr>.,Crée trois pièges à 3 dégâts sur des hexagones vides à <nobr>Portée <sprite name=Range> 4.</nobr>,Erstelle drei Fallen (3 Schaden) auf leeren Feldern in <nobr>Reichweite <sprite name=Range> 4</nobr>.,Crea 3 trampas de daño 3 en hexágonos vacíos a <nobr>Alcance <sprite name=Range> 4</nobr>.,Stwórz trzy pułapki zadające 3 obrażenia na pustych polach w <nobr>Zasięgu <sprite name=Range> 4</nobr>.,
JOTL_099_T,"Add <nobr>+2 Attack <sprite name=Attack></nobr>, <nobr>WOUND <sprite name=Wound></nobr> and gain <sprite name=XP1> if the target is adjacent to a wall.","Ajoute <nobr>+2 en Attaque <sprite name=Attack></nobr> et <nobr>BLESSURE <sprite name=Wound></nobr>. De plus, vous gagnez <sprite name=XP1> si la cible est adjacente à un mur.","Füge <nobr>+2 Angriff <sprite name=Attack></nobr>, <nobr>WUNDE <sprite name=Wound></nobr> hinzu und erhalte <sprite name=XP1>, wenn das Ziel an eine Mauer angrenzt.","Añade <nobr>Ataque <sprite name=Attack> +2</nobr> y <nobr>HERIDA <sprite name=Wound></nobr>, y obtén <sprite name=XP1> si el objetivo está adyacente a una pared.","Dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr>, <nobr>ZRANIENIE <sprite name=Wound></nobr> oraz zyskaj <sprite name=XP1> , jeśli cel sąsiaduje ze ścianą.",
JOTL_101_T_1,Your current and maximum hit point values are increased by 5.,Vos points de vie actuels et votre maximum de points de vie sont augmentés de 5.,Dein aktueller und dein maximaler TP-Wert erhöhen sich um 5.,Tu valor máximo de puntos de vida aumenta en 5.,Twoje maksymalne punkty życia zostają zwiększone o 5.,
JOTL_101_T_2,Recover all your discarded cards.,Récupérez toutes vos cartes défaussées.,Bekomme alle deine abgeworfenen Karten zurück.,Recupera todas tus cartas descartadas.,Odzyskaj wszystkie odrzucone karty.,
JOTL_101_B_1,"If the target is adjacent to a wall, you may create one single-hex obstacle in an empty hex adjacent to the target.","Si la cible est adjacente à un mur, vous pouvez créer un obstacle d'un hexagone sur un hexagone vide adjacent à la cible.","Wenn das Ziel an eine Mauer angrenzt, darfst du auf einem leeren Feld, das an das Ziel angrenzt, ein Einzelfeld-Hindernis erstellen.","Si el objetivo está adyacente a una pared, puedes crear un obstáculo de un solo hexágono en un hexágono vacío adyacente al objetivo.","Jeśli cel sąsiaduje ze ścianą, możesz stworzyć jedną przeszkodę o wielkości jednego pola na pustym polu sąsiadującym z celem.",
JOTL_102_B,"Destroy one adjacent obstacle. If you do, gain <sprite name=XP1> and perform",Détruit un obstacle adjacent. Cela vous fait gagner <sprite name=XP1> et vous permet d'effectuer,Zerstöre ein angrenzendes Hindernis. Erhalte dafür <sprite name=XP1> und führe aus:,"Destruye 1 obstáculo adyacente. Si lo haces, obtén <sprite name=XP1> y realiza","Zniszcz jedną sąsiadującą przeszkodę. Jeśli to zrobisz, zyskaj <sprite name=XP1> i wykonaj akcję ",
JOTL_103_T,"Ignore the Shield value of the target, add <nobr>POISON <sprite name=Poison></nobr>, and gain <sprite name=XP1> if this attack targets the same enemy as the previous two Attack abilities.","Ignore la valeur de Bouclier de la cible et ajoute <nobr>EMPOISONNEMENT <sprite name=Poison></nobr>. De plus, vous gagnez <sprite name=XP1> si cette attaque cible le même adversaire que vos deux précédentes capacités d'attaque.","Ignoriere den Schildwert des Ziels, füge <nobr>GIFT <sprite name=Poison></nobr> hinzu und erhalte <sprite name=XP1>, wenn der Gegner das Ziel der vorherigen zwei Angriffsfertigkeiten war.","Ignora el valor de Escudo del objetivo, añade <nobr>VENENO <sprite name=Poison></nobr> y obtén <sprite name=XP1> si este ataque toma como objetivo al mismo enemigo que las dos capacidades de Ataque anteriores.","Zignoruj wartość tarczy przeciwnika, dodaj <nobr>ZATRUCIE <sprite name=Poison></nobr> oraz zyskaj <sprite name=XP1>, jeśli celem tego ataku jest ten sam przeciwnik, co w dwóch poprzednich zdolnościach Ataku.",
