Keys,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl]
Quest_SOLO_Tinkerer_AnUnfortunateIntrusion_INTRO_GH_3,"“They’re coming over the walls!” A great commotion erupts outside, completely breaking your concentration. In a huff, you slam your wrench down on the table and exit your workshop to see what is causing this annoying disturbance.","« Ils passent par-dessus les murs ! » Le vacarme est tel qu'il vous fait perdre votre cheminement de pensée. Exaspéré, vous balancez votre clé à molette sur l'établi et sortez de votre atelier pour voir ce qui peut bien causer cet agaçant désordre.","""Sie kommen über die Mauern!"" Draußen bricht Chaos aus und reißt dich abrupt aus der Konzentration. Ungehalten knallst du deinen Schraubenschlüssel auf den Tisch und trittst aus der Werkstatt, um den Grund für die leidige Störung zu erfahren.","—¡Están subiendo por las murallas!
 
 Un gran tumulto estalla fuera y pierdes la concentración por completo. Con un suspiro, tiras la llave inglesa sobre la mesa y sales del taller a averiguar qué está provocando todo ese molesto alboroto.","„Przechodzą przez mury!“ Wielka wrzawa na zewnątrz całkowicie wybija cię z rytmu pracy. Zirytowany rzucasz narzędzia na stół i wychodzisz ze swojego warsztatu, żeby zobaczyć, co spowodowało to irytujące zamieszanie."
Quest_SOLO_Tinkerer_AnUnfortunateIntrusion_INTRO,"You look to the walls as you emerge from your door and witness a horde of small, furry creatures climbing over the parapet and descending into the city. Your eyes dart around in a panic, noticing only a small handful of guards in the area, desperately trying to hold back the Vermling swarm.

""We must protect the city until reinforcements arrive!"" Yells one of the guards. Never mind the whole city, if those Vermlings destroy your workshop, you're not sure if you can replicate the procedures that have gotten you this far in your research.","Depuis le seuil de votre porte, vous jetez un coup d'œil vers le rempart et distinguez une horde de petites créatures poilues qui passent par-dessus le mur et se répandent en ville. Vous regardez autour de vous, paniqué, pour constater que seul un petit groupe de gardes tente désespérément de repousser la nuée de Vermlings.
 
 « Nous devons protéger la cité jusqu'à l'arrivée des renforts ! » s'écrie l'un des gardes. Le sort du reste de la ville ne vous préoccupe guère, mais si ces Vermlings détruisent votre atelier, vous n'êtes pas certain de pouvoir reproduire les étapes qui vous ont mené si loin dans vos recherches.","Als du aus der Tür trittst, fällt dein Blick auf die Mauern, wo eine Horde kleiner pelziger Kreaturen soeben über die Brustwehr klettert und in die Stadt einfällt. Panisch siehst du dich um und entdeckst nur ein paar Wachen, die verzweifelt versuchen, das Ratzenrudel abzuwehren.
 
 ""Wir müssen die Stadt verteidigen, bis Verstärkung eintrifft!"", schreit eine der Wachen. Was schert dich die Stadt? Wenn diese Ratzen deine Werkstatt zerstören, kannst du möglicherweise die Verfahren nicht mehr nachvollziehen, die deine Forschungen so weit haben gedeihen lassen.","Cuando sales por la puerta, miras a las murallas y presencias la horda de pequeñas criaturas peludas que trepan por el parapeto y descienden a la ciudad. Aterrado, observas el panorama y no ves más que a unos pocos guardias en la zona intentando desesperadamente contener la plaga de infestores.
 
 —¡Debemos proteger la ciudad hasta que lleguen los refuerzos! —grita uno de los guardias.
 
 La ciudad no te importa tanto, pero si esos infestores destruyen tu taller, no estás seguro de poder repetir los pasos que te han llevado hasta este punto de la investigación.","Otwierasz drzwi prowadzące na zewnątrz i widzisz, jak horda małych, futrzastych stworzeń przechodzi przez mury miasta. Rozglądasz się w panice i widzisz w pobliżu jedynie garstkę strażników, którzy desperacko próbują powstrzymać stado szczuroków..

„Musimy chronić miasto, dopóki nie nadejdą posiłki!“ - krzyczy jeden z nich. Nie myślisz raczej o całym mieście, ale jeśli Szczuroki zniszczą twój warsztat, to obawiasz się, że nie zdołasz odtworzyć swojej pracy nad wynalazkiem."
Scenario_SOLO_Tinkerer_AnUnfortunateIntrusion_Success_1,You look at your now empty bag of bombs and your spent fuel tank as yet more of the pernicious creatures pour over the wall.,Vous jetez un œil à votre sac de bombes vide et votre réservoir de carburant épuisé alors que de nouvelles créatures passent par-dessus le mur.,"Deine Bombentasche und dein Treibstofftank sind restlos leer, während immer mehr von den üblen Kreaturen über die Mauer strömen.",Miras la bolsa de bombas vacía y el tanque de combustible agotado mientras más de esas perniciosas criaturas descienden por la muralla.,"Patrzysz na swój pusty worek na bomby i zużyty zbiornik paliwa, podczas gdy przez mury przelewa się coraz więcej tych parszywych stworzeń."
Scenario_SOLO_Tinkerer_AnUnfortunateIntrusion_Success_2,"You load the last bolt into your crossbow and try to take aim, but shaking with exhaustion and fall to your knees","Chargeant votre arbalète à l'aide de votre dernier carreau, vous essayez de viser, mais tremblant de fatigue, vous tombez à genoux.","Du legst den letzten Bolzen in die Armbrust und versuchst zu zielen, doch du zitterst vor Erschöpfung. Du fällst auf die Knie.","Cargas el último proyectil en la ballesta e intentas apuntar, pero el agotamiento te hace temblar y acabas cayendo de rodillas.","Ładujesz ostatni bełt do kuszy i starasz się wycelować, ale wyczerpany padasz na kolana."
Scenario_SOLO_Tinkerer_AnUnfortunateIntrusion_Success_3,"As your enemies rush forward, you suddenly hear the clanking of armor from behind. A full battalion of soldiers advances past you to meet with the Vermling horde. ","Alors que les créatures se ruent en avant, vous entendez soudain un bruit d'armure derrière vous. Un bataillon de soldats s'avance et passe devant vous, prêt à affronter la horde de Vermlings.","Als deine Gegnere anstürmen, hörst du hinter dir plötzlich Rüstungen scheppern: Ein ganzes Soldatenbataillon marschiert an dir vorbei auf das Ratzenrudel zu.","De repente, mientras tus enemigos avanzan, oyes el ruido de las armaduras aproximándose desde atrás. Todo un batallón de soldados avanza en dirección a la horda de infestores.","Gdy wrogowie rzucają się do przodu, słyszysz za sobą jakiś hałas. Po chwili mija cię pełny batalion żołnierzy i atakuje hordę szczuroków."
Scenario_SOLO_Tinkerer_AnUnfortunateIntrusion_Success_4,"The tide of the battle quickly turns, and after a few short minutes, the Vermlings all lay dead.","L'équilibre des forces s'en retrouve totalement bouleversé et, en quelques minutes, tous les Vermlings gisent au sol, morts.",Schnell wendet sich das Schlachtenglück. Nach ein paar Augenblicken sind alle Ratzen erschlagen.,"La batalla rápidamente da un vuelco y, en pocos minutos, todos los infestores yacen muertos.","Szala bitwy szybko się odwraca, a po kilku minutach wszystkie szczuropodobne stwory są już martwe."
Scenario_SOLO_Tinkerer_AnUnfortunateIntrusion_Success_5,"You cough and slowly stand back up. The soldiers don’t even acknowledge your presence, but that is no matter. You finally have the peace and quiet to finish your work.","Pris d'une violente quinte de toux, vous vous relevez lentement. Les soldats ne vous remarquent même pas, mais cela n'a que peu d'importance. Vous avez enfin le calme dont vous aviez besoin pour achever votre œuvre.","Du hustest und richtest dich langsam wieder auf. Die Soldaten nehmen dich gar nicht wahr, doch das ist ohne Belang. Endlich kannst du in Ruhe und Frieden deine Arbeit beenden.","Toses y te levantas lentamente. Los soldados ni siquiera se han percatado de tu presencia, pero da igual. Por fin tienes la paz y la tranquilidad necesarias para terminar tu trabajo.","Kaszlesz krwią i powoli wstajesz. Żołnierze nawet nie zauważają twojej obecności, ale to bez znaczenia. W końcu masz spokój i upragnioną ciszę, żeby zakończyć swój projekt."
Quest_SOLO_Spellweaver_CorruptedLaboratory_NAME,Corrupted Laboratory,Laboratoire Corrompu,Verdorbenes Labor,Laboratorio corrupto,Spaczone laboratorium
Quest_SOLO_Spellweaver_CorruptedLaboratory_DESC,The Spellweaver seeks out a powerful new potion,La Tisse-Sort recherche une nouvelle potion particulièrement puissante,Die Spruchweberin sucht einen mächtigen neuen Trank,La Tejedora de hechizos está investigando una nueva y potente poción.,"Tkaczka Zaklęć poszukuje nowej, potężnej mikstury"
Quest_SOLO_Spellweaver_CorruptedLaboratory_List,The Spellweaver's Solo Quest,Quête solo de la Tisse-Sort,Soloquest der Spruchweberin,Misión en solitario de la Tejedora de hechizos,Solowa misja Tkaczki Zaklęć
Quest_SOLO_Spellweaver_CorruptedLaboratory_INTRO_TRAVEL_1,"Power corrupts. Every Spellweaver knows this, and heeding it is part of your mantra.","Le pouvoir corrompt. Tous les Tisse-Sort le savent, et cette pensée fait partie intégrante de votre mantra.","Macht korrumpiert. Jede Spruchweberin weiß das, und diese Warnung zu beachten ist Teil deines Mantras.",El poder corrompe. Todo tejedor de hechizos lo sabe,Moc deprawuje. Każdy Tkacz Zaklęć wie o tym i powtarza to jak swoją mantrę.
Quest_SOLO_Spellweaver_CorruptedLaboratory_INTRO_TRAVEL_2,"Still, one should not fear power because of its dark underbelly. When the noble path stands before you, power should be embraced.","Mais ce n'est pas pour cela qu'il faut le redouter. Au contraire, quand se présente le plus noble des chemins, il faut s'y engager sans crainte, en assumant pleinement son pouvoir.","Doch niemand sollte Macht fürchten, nur weil sie auch eine dunkle Seite hat. Wenn du den edlen Pfad vor dir hast, solltest du die Macht freudig annehmen.","Aun así, no se debe temer al poder solo porque tenga un lado oscuro. Cuando el noble sendero se abre ante ti, debes abrazar el poder.","Mimo to, nie należy obawiać się mocy z powodu istnienia ciemnej strony. Kiedy otwiera się przed tobą szlachetna ścieżka, powinno się nią podążyć."
Quest_SOLO_Spellweaver_CorruptedLaboratory_INTRO_TRAVEL_3,"Such thoughts are what led you to the Mixed District, with the intention of discovering a more potent concoction to aid you in battle.","Ce sont ces pensées qui vous ont conduite jusqu'au Quartier Mixte, avec la ferme intention de découvrir une préparation suffisamment puissante pour vous aider dans la bataille qui s'annonce.","Es sind solche Gedanken, die dich ins Fundusviertel geführt haben - mit der Absicht, ein stärkeres Gebräu für die Schlacht zu finden.","Pensamientos como estos son los que te llevaron al Barrio Mixto, con el fin de descubrir un brebaje más potente que te ayudara en la batalla.","Takie myśli doprowadziły cię do Mieszanej Dzielnicy, gdzie miałaś zamiar zdobyć jakiś mocny eliksir, który wspomoże cię w walce."
Quest_SOLO_Spellweaver_CorruptedLaboratory_INTRO_TRAVEL_4,"And such thoughts have now resulted in you standing outside a small alchemy shop, staring down at a red-faced Quatryl.","C'est pour cette raison que vous vous trouvez devant la petite échoppe d'alchimie, face à un Quatryl à la figure empourprée.","Und solche Gedanken haben dazu geführt, dass du nun vor einem kleinen Alchemielabor stehst und auf einen rotgesichtigen Quatryl hinabschaust.",Y tales ideas te han llevado a encontrarte frente a una pequeña tienda de alquimia mirando a un quatryl de cara roja.,"No i teraz stoisz na zewnątrz małego sklepiku alchemicznego, spoglądając z góry na zarumienionego Kwatryla."
Quest_SOLO_Spellweaver_CorruptedLaboratory_INTRO,"""Oh, thank the Oak you’ve arrived on time,"" he sputters, pausing to catch his breath. ""I was just finishing up the potion, when, ah, some of my test subjects, well, they got overly eager to get their claws on more of its power.""

""I had to flee for my life, and I unfortunately left the vial down in the basement, guarded by my assistant.""

The Quatryl points towards the door. ""I’m sorry, but the subjects have overrun my lab. If you want the potion, I fear you’ll have to find some way through them.""

Wordlessly, you step forward through the threshold of the wooden building. Power corrupts, though sometimes it happens in unexpected ways.","« Le Chêne soit loué, vous êtes arrivée à temps, bredouille-t-il en s'interrompant pour reprendre son souffle. J'étais en train de terminer votre potion, quand certains des sujets de mon expérience se sont... eh bien, montrés extrêmement désireux de s'emparer de sa puissance. »
 
 « J'ai dû fuir pour sauver ma vie, et j'ai malheureusement laissé la fiole dans le sous-sol, gardée par mon assistant. »
 
 Le Quatryl pointe la porte du doigt. « Je suis désolé, mais les sujets de mes expériences ont pris le contrôle de mon laboratoire. Si vous voulez la potion, il va falloir vous frayer un chemin à travers eux, je le crains. »
 
 Sans un mot, vous entrez dans le bâtiment en bois. Le pouvoir corrompt, certes, mais parfois, cela se fait de façon inattendue.","""Oh, der Eiche sei Dank, dass du rechtzeitig eingetroffen bist"", stottert er und japst nach Luft. ""Ich wollte gerade den Trank abfüllen, als ... Nun, einige meiner Testsubjekte waren begierig, mehr seiner Macht in die Krallen zu bekommen.
 
 Ich musste um mein Leben rennen. Leider habe ich die Phiole im Keller zurückgelassen, in der Obhut meines Assistenten.""
 
 Der Quatryl zeigt auf die Tür. ""Es tut mir leid, aber die Subjekte haben mein Labor überrannt. Ich fürchte, du wirst dir einen Weg hindurch bahnen müssen, wenn du den Trank willst.""
 
 Wortlos schreitest du über die Schwelle des hölzernen Gebäudes. Macht korrumpiert, doch bisweilen auf unerwartete Art.","—Oh, gracias al Roble que has llegado a tiempo —dice, haciendo una pausa para recuperar el aliento—. Estaba terminando la poción cuando, esto, alguno de mis sujetos de prueba… bueno, estaban demasiado ansiosos por meter sus garras en algo que aumentara más su poder.
 
 Tuve que huir para salvar mi vida y, por desgracia, se me quedó el frasco en el sótano, custodiado por mi ayudante —dice el quatryl mientras apunta hacia la puerta.
 
 —Lo siento, pero los sujetos han invadido mi laboratorio. Si quieres la pócima, me temo que tendrás que encontrar alguna forma de abatirlos.
 
 Sin mediar palabra, avanzas hacia la puerta del edificio de madera. El poder corrompe y, a veces, lo hace de forma inesperada.","„Och, dzięki niech będą Wielkiemu Dębowi, że dotarłaś na czas“ - bełkocze łapiąc oddech. „Właśnie kończyłem warzenie eliksiru, kiedy... no... Niektóre z moich obiektów badawczych postanowiły same z niego skorzystać.“

„Musiałem uciekać i ratować życie. Niestety zostawiłem fiolkę w piwnicy. Pilnuje jej mój asystent.“

Kwartyl wskazuje na drzwi. „Przykro mi, ale laboratorium opanowały moje obiekty badawcze. Jeśli chcesz eliksir, to obawiam się, że musisz sobie z nimi jakoś poradzić.“

Bez słowa, przechodzisz przez próg drewnianego budynku. Moc deprawuje, choć czasami w dość nieoczekiwany sposób."
Scenario_SOLO_Spellweaver_CorruptedLaboratory_Misc_1,"You grab the reddish-black vial from the chest and suddenly hear the door slam behind you.

""That belongs to the master. Put it back.""","Prenant la fiole noire aux reflets rougeâtres dans le coffre, vous entendez soudain la porte claquer derrière vous.
 
 « Cette potion appartient au maître. Remettez-la à sa place. »","Du schnappst dir die rötlich-schwarze Phiole aus der Kiste, als du hörst, wie hinter dir eine Tür ins Schloss fällt.
 
 ""Die gehört dem Meister. Finger weg.""","Coges el frasco de color negro rojizo del baúl y, de repente, oyes la cómo puerta se cierra de un golpe tras de ti.
 
 —Eso pertenece al maestro. Déjalo donde estaba.","Chwytasz czerwono-czarną fiolkę ze skrzyni i nagle słyszysz za sobą trzaśnięcie drzwi.

„To należy do mistrza. Odłóż to.“"
Scenario_SOLO_Spellweaver_CorruptedLaboratory_Misc_2,"You turn around to see the looming figure of a stone golem blocking your escape. That must be the alchemist’s ""assistant."" 
Unfortunately, you’ll have to go through it if you want to escape","Vous retournant, vous découvrez l'imposant golem de pierre qui bloque la sortie. Sans doute s'agit-il de l'assistant de l'alchimiste.
 Malheureusement, vous allez devoir le vaincre si vous voulez pouvoir vous enfuir.","Du drehst dich um und siehst einen riesigen Steingolem über dir aufragen - genau in deinem Fluchtweg. Das muss der Assistent sein, von dem der Alchemist gesprochen hat.
 Leider musst du an ihm vorbei, wenn du entkommen möchtest.","Te das la vuelta y ves la amenazante figura de un Gólem de piedra bloqueándote la salida. Este debe ser el «ayudante» del alquimista.
 Por desgracia, si quieres escapar, tendrás que pasar por encima de él.","Odwracasz się i widzisz majaczącą postać kamiennego golema, który blokuje drogę ucieczki. To musi być ów „asystent“ alchemika. Niestety, jeśli chcesz się stąd wydostać, będziesz musiała sobie z nim poradzić."
